电影名, 作者, 上映年份, 评分, 电影简介, 豆瓣详情, 电影海报
百万英镑 The Million Pound Note, 改编自马克吐温小说《一张百万英镑的钞票》, 年份: 1954, 8.2, 本片拍摄于1953年，根据马克·吐温的小说《一张百万英镑的钞票》改编。                                                                    富豪之家的两兄弟，从银行取出面额为一百万英镑的钞票，想以此验证一个穷人拿到这张巨额钞票的结局。哥哥认为这张钞票对一个穷人毫无价值，最终他还是会穷困潦倒；而弟弟则认为他会因为这张钞票摆脱困境过上富足的生活。为了证明各自的理论的正确的，兄弟两人为此打起了赌。他们将这张钞票留给穷困潦倒的美国小伙子亨利·亚当斯（格利高里·派克 Gregory Peck 饰）后出国旅行了，留下对未来一片迷茫的亨利。                                                                    人们对这位突然暴富的罕见富翁，竟拼命地拉拢他，从免费吃饭，买衣服，到免费住宿，一个个像乞丐一样讨好他，并不断提高他的社会地位。不仅如此，这位幸运的小伙子还取到了一位好妻子和三万英镑的银行利息，从此以后过着非常幸福的生活。                        ©豆瓣, https://movie.douban.com/subject/1304374/, https://img2.doubanio.com/view/photo/poster/public/p1723037871.jpg
等待戈多 Waiting for Godot, 改编自贝克特同名剧作, 年份: 2001, 8.5, 两个像瘪三一样的流浪汉自始自终在等待一个名叫戈多的人。他们穷愁潦倒，希望戈多的出现能使他们得救。然而戈多自始自终也没有出现。, https://movie.douban.com/subject/1758645/, https://img2.doubanio.com/view/photo/poster/public/p2554162862.jpg
好兵帅克 Dobrý voják Svejk, 改编自雅·哈谢克同名小说, 年份: 1957, 7.8, 改编著名作家雅罗斯拉夫.哈谢克以第一次世界大战为背景创作的传世讽刺杰作《好兵帅克》。通过一位普通士兵帅克在第一次世界大战中的种种遭遇及他周围各类人物的活动，以谑而不虐，寓在于谐，含怒骂于嬉笑之中的绝妙手法，将残暴腐朽的奥匈帝国及其一切丑类暴露在光天化日之下。, https://movie.douban.com/subject/1458187/, https://img1.doubanio.com/view/photo/poster/public/p2588031587.jpg
米德镇的春天 Middlemarch, 改编自乔治·艾略特小说《米德尔马契》, 年份: 1994, 7.8, 影片《米德镇的春天》的背景是政局动汤不安的十九世纪英国，讲述的是一个由爱情、政治和苦闷热情相互交织而成的故事。片中两位主演均表现出了各自特有的功力，将一个单纯而又复杂情感漩涡搅得既精彩而又生动。                                                                    野心勃勃的年轻医师李盖特到米德镇新的医院任职，镇上的年轻女子多萝西雅也正积极的寻找生命意义。而她却深深受到年长又充满书卷气的爱德华所吸引而无法自拔。但他们的梦想很快就受到婚姻和世俗礼教的严格考验。, https://movie.douban.com/subject/1308099/, https://img3.doubanio.com/view/photo/poster/public/p2341001340.jpg
弗洛斯河上的磨房 The Mill on the Floss, 改编自乔治·艾略特同名小说, 年份: 1997, 8.0, 玛姬（艾米丽·沃森 Emily Watson 饰）和汤姆（伊弗兰·梅勒蒂斯 Ifan Meredith 饰）是一对感情十分要好的兄妹。父亲爱德华（伯纳德·希尔 Bernard Hill 饰）破产后，汤姆被迫放弃了优渥的留学机会，靠着自己的双手努力支撑起整个家庭的负担，妹妹玛姬亦从一个衣食无忧的天真女孩成长为了勤劳贤惠的女人，最终，汤姆终于攒够了钱赎回了磨坊。                                                                    玛姬和律师的儿子菲利普（詹姆斯·弗莱恩 James Frain 饰）相互抱有好感，但汤姆却认为律师正是造成他们家破人亡的罪魁祸首，因而极力反对妹妹同其交往。之后，不幸的玛姬又爱上了表妹的未婚夫，暴怒的汤姆将她逐出门外。一场暴雨引发了洪水泛滥，汤姆被困在磨坊之中，玛姬心急如焚。                        ©豆瓣, https://movie.douban.com/subject/1789047/, https://img9.doubanio.com/view/photo/poster/public/p2512366276.jpg
远大前程 Great Expectations, 改编自狄更斯同名小说, 年份: 1946, 7.8, 少年皮普（John Mills，Tony Wager 饰）父母双亡，依靠姐姐与铁匠姐夫生活，在闭塞的英国乡下，皮普受到的只是粗暴的管教。临近监狱的两名犯人逃脱，皮普出于善良向其中一个提供了食物，尽管犯人很快归案，但入狱前不忘提皮普开脱。不久附近豪宅内的哈维森小姐召皮普为自己服务，皮普一家视之为出头的机会，怎料哈维森小姐年轻时被男人所伤，一心只想培养养女爱斯泰纳（Valerie Hobson，Jean Simmons 饰）报复男人。                                                                    皮普很快步入了宿命般的铁匠生活，不觉六年过去。一位神秘的资助人出钱令皮普进入上流社会，皮普经过在伦敦的学习脱胎换骨，然而他久久不能忘怀少年时的初恋爱斯泰纳，幕后的资助人麦戈维奇——当年的逃犯——此时突然出现，皮普决意同麦戈维奇一起离开英国，但警察早已监视他们多时……                                                                    本片获1948年奥斯卡奖最佳摄影奖、最佳美工设计奖。根据查尔斯·狄更斯同名小说改编。, https://movie.douban.com/subject/1297550/, https://img9.doubanio.com/view/photo/poster/public/p1259668534.jpg
橡皮 Les gommes, 改编自阿兰·罗布-格里耶同名小说, 年份: 1969, 暂无评分, Les Gommes (Eng: The Erasers) is the title of the debut novel by Alain Robbe-Grillet, first published in 1953. The novel reads like a detective story but is primarily concerned with weaving and then probing a complete mixture of fact and fantasy. The novel contains within it a deeper structure based on the story of Oedipus. A detective is seeking the assassin in a murder that has not yet occurred, only to discover that it is his destiny to become that assassin., https://movie.douban.com/subject/4050378/, https://img1.doubanio.com/view/subject/l/public/s3989977.jpg
情人 L'amant, 改编自杜拉斯同名小说, 年份: 1992, 8.2, 1929年的越南是法国殖民地，一个15岁的法国少女（珍·玛奇 饰）在西贡女子寄宿学校读书。每逢假期她便回家，母亲办了一所很小的学校，收入甚少。她有两个哥哥，大哥比尔吸毒成瘾且横行霸道，二哥保罗生性懦弱，常受大哥的欺负。一天少女一如往常一样告别母亲乘上渡船回学校，在船上遇到一个坐黑色大轿车的中国阔少爷（梁家辉 饰），他是华侨富翁的独生子。中国男人喜欢这名白人少女便去搭讪，两人便搭上了。 少女在寄宿学校里知道有的女生在外卖淫，她也想找个有钱人试试，因此很主动地与男人交谈。上岸后两人逛了西贡，还一起上馆子吃中国饭菜，男人用汽车送她回学校。第二天刚放学，黑色汽车就等在校门口了。 两人很快就坠入爱河。男人把少女带到他的公馆，这是中国富人们常用来金屋藏娇的地方。他俩在这里幽会、洗澡、玩耍。有时晚上也不回学校，校方只好通知她的母亲，然而……                        ©豆瓣, https://movie.douban.com/subject/1291868/, https://img2.doubanio.com/view/photo/poster/public/p1674536431.jpg
但丁的地狱 L'inferno, 改编自但丁《神曲》, 年份: 1911, 8.0, The poet Dante is lost in a dark and gloomy wood. At the summit of a mountain he sees the light of salvation. He endeavors to ascend to it, but his way is barred by three wild beasts, symbolizing Avarice, Pride and Lust. Beatrice sees his predicament and descends from Paradise into Limbo, where she asks the poet Virgil to rescue and guide Dante. Virgil knows another way to go, but this leads straight through the entire Inferno, before it continues towards Paradise. Virgil leads Dante to the portals of Inferno. Charon ferries them over the river Acheron, and then they start their journey downwards through the different circles of Inferno. Dante meets all kind of sinners and sees the never-ending punishments they have to undergo. The various punishments are adjusted to the different transgressions. Among the sinners Dante recognizes many persons he has met in Florence, when they were still alive. They tell him their sad stories and why they have ended here. At last Dante and Virgil ..., https://movie.douban.com/subject/2351048/, https://img3.doubanio.com/view/photo/poster/public/p2535450320.jpg
动物农庄 Animal Farm, 改编自乔治奥威尔同名小说, 年份: 1999, 7.3, 电影改编自乔治奥威尔的经典同名小说。琼斯先生（皮特·波斯尔思韦特 Pete Postlethwaite 饰）经营着一间农场，然而，他的心思却全然没有放在如何照顾好自己的动物们身上，他沉迷于打猎和喝酒，整日浑浑噩噩。在连续两天都没有吃饭的情况下，动物们愤怒了，它们设计将琼斯先生赶出了农场，自己当家做主。                                                                    就在大家以为公平自由的生活即将来临之时，公猪拿破仑（帕特里克·斯图尔特 Patrick Stewart 配音）站了出来，在它的领导之下，动物们每日依旧要干活，依旧过着受冻挨饿的日子，而拿破仑呢，喝着牛奶吃着面包，体型日益肥硕起来。动物们受到了拿破仑的蒙骗，将它的话视作圣旨，却依然无法改变被奴役的命运。                        ©豆瓣, https://movie.douban.com/subject/1303737/, https://img1.doubanio.com/view/photo/poster/public/p2511241488.jpg
